sample	latitude	longitude	location	country	collection_time	material	feature	metagenome_id
mgs561377	35.689	139.69	Tokyo	Japan	13:00:00	air	city	mgm4713904.3
mgs561353	35.689	139.69	Tokyo	Japan	13:00:00	air	city	mgm4713907.3
mgs561365	35.689	139.69	Tokyo	Japan	13:00:00	air	city	mgm4713905.3
mgs561368	35.689	139.69	Tokyo	Japan	13:00:00	air	city	mgm4713898.3
mgs561371	35.689	139.69	Tokyo	Japan	13:00:00	air	city	mgm4713908.3
mgs561356	35.689	139.69	Tokyo	Japan	13:00:00	air	city	mgm4713906.3
mgs561350	35.689	139.69	Tokyo	Japan	13:00:00	air	city	mgm4713899.3
mgs561380	35.689	139.69	Tokyo	Japan	13:00:00	air	city	mgm4713901.3
mgs561359	35.689	139.69	Tokyo	Japan	13:00:00	air	city	mgm4713903.3
mgs561362	35.689	139.69	Tokyo	Japan	13:00:00	air	city	mgm4713900.3
mgs561374	35.689	139.69	Tokyo	Japan	13:00:00	air	city	mgm4713902.3
mgs201221	39.1	-96.6	Konza Prairie LTER, Kansas, USA	USA	12:00:00	bulk soil	slope	mgm4575343.3
mgs201215	-77.527	161.702	Wright Valley, Antarctica	USA	12:00:00	bulk soil	slope	mgm4575341.3
mgs201227	-12.633	-71.233	Manu National Park, Peru	USA	12:00:00	bulk soil	slope	mgm4575345.3
mgs201203	-78.03	163.873283333333	Garwood Valley, Antarctica	USA	12:00:00	bulk soil	slope	mgm4575337.3
mgs201236	68.633	-149.583	Toolik Lake LTER, Alaska, USA	USA	12:00:00	bulk soil	slope	mgm4575348.3
mgs201194	64.8	-148.25	Bonanza Creek LTER, Alaska, USA	USA	12:00:00	bulk soil	slope	mgm4575334.3
mgs201209	-77.608	163.249	Lake Fryxell Valley, Antarctica	USA	12:00:00	bulk soil	slope	mgm4575339.3
mgs201200	35.967	-79.083	Duke Forest, North Carolina, USA	USA	12:00:00	bulk soil	slope	mgm4575336.3
mgs201230	35.383	-105.933	Chihuahuan Desert, Galisteo, New Mexico, USA	USA	12:00:00	bulk soil	slope	mgm4575346.3
mgs201206	-77.725	162.313	Lake Bonney Valley, Antarctica	USA	12:00:00	bulk soil	slope	mgm4575338.3
mgs201224	34.9	-115.65	Mojave Desert, California, USA	USA	12:00:00	bulk soil	slope	mgm4575344.3
mgs201212	-77.6375	162.887	Lake Hoare Valley, Antarctica	USA	12:00:00	bulk soil	slope	mgm4575340.3
mgs201233	34.333	-106.733	Chihuahuan Desert, Sevilleta LTER, New Mexico, USA	USA	12:00:00	bulk soil	slope	mgm4575347.3
mgs201197	34.617	-81.667	Calhoun Experimental Forest, South Carolina, USA	USA	12:00:00	bulk soil	slope	mgm4575335.3
mgs201218	-77.725	162.311	Lake Bonney Valley, Antarctica	USA	12:00:00	bulk soil	slope	mgm4575342.3
mgs201191	-26.733	-54.683	Misiones, Argentina	USA	12:00:00	bulk soil	slope	mgm4575333.3
mgs192770	-4.03326	-154.95094	Pacific Ocean	Kiribati	10:00:00	water	coral reef	mgm4466810.3
mgs192734	-9.90774	-150.19974	Pacific Ocean	Kiribati	10:00:00	water	coral reef	mgm4466582.3
mgs192794	4.70242	-160.39212	Pacific Ocean	Kiribati	10:00:00	water	coral reef	mgm4466845.3
mgs192767	2.0085833	-157.48945	Pacific Ocean	Kiribati	10:00:00	water	coral reef	mgm4466809.3
mgs192791	-10.05835	-152.30954	Pacific Ocean	Kiribati	10:00:00	water	coral reef	mgm4466844.3
mgs192755	-0.36902	-160.00819	Pacific Ocean	USA	10:00:00	water	coral reef	mgm4466738.3
mgs192785	3.82595	-159.34957	Pacific Ocean	Kiribati	10:00:00	water	coral reef	mgm4466825.3
mgs192761	6.387	-162.386	Pacific Ocean	USA	10:00:00	water	coral reef	mgm4466741.3
mgs192743	-11.43911	-151.81964	Pacific Ocean	Kiribati	10:00:00	water	coral reef	mgm4466597.3
mgs192740	-11.41924	-151.82739	Pacific Ocean	Kiribati	10:00:00	water	coral reef	mgm4466596.3
mgs192749	-0.38188	-159.998	Pacific Ocean	USA	10:00:00	water	coral reef	mgm4466736.3
mgs192788	3.84085	-159.36047	Pacific Ocean	Kiribati	10:00:00	water	coral reef	mgm4466835.3
mgs192782	-5.6222	-155.88002	Pacific Ocean	Kiribati	10:00:00	water	coral reef	mgm4466820.3
mgs192764	1.99095	-157.48251	Pacific Ocean	Kiribati	10:00:00	water	coral reef	mgm4466745.3
mgs192776	5.86646	-162.11346	Pacific Ocean	USA	10:00:00	water	coral reef	mgm4466309.3
mgs192752	-0.36537	-160.006	Pacific Ocean	USA	10:00:00	water	coral reef	mgm4466737.3
mgs192758	-0.369017	-160.00819	Pacific Ocean	USA	10:00:00	water	coral reef	mgm4466739.3
mgs192746	-11.44423	-151.81709	Pacific Ocean	Kiribati	10:00:00	water	coral reef	mgm4466599.3
mgs192779	-5.66441	-155.87346	Pacific Ocean	Kiribati	10:00:00	water	coral reef	mgm4466814.3
mgs192797	4.6867167	-160.42023	Pacific Ocean	Kiribati	10:00:00	water	coral reef	mgm4466846.3
mgs192737	-9.91672	-150.21072	Pacific Ocean	Kiribati	10:00:00	water	coral reef	mgm4466592.3
mgs192773	-3.99531	-154.94452	Pacific Ocean	Kiribati	10:00:00	water	coral reef	mgm4466812.3
