n_scaffolds	n_contigs	scaf_bp	contig_bp	gap_pct	scaf_N50	scaf_L50	ctg_N50	ctg_L50	scaf_N90	scaf_L90	ctg_N90	ctg_L90	scaf_max	ctg_max	scaf_n_gt50K	scaf_pct_gt50K	gc_avg	gc_std	filename
31	31	3033	3033	0.000	13	94	13	94	27	71	27	71	251	251	0	0.000	0.44774	0.12323	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466309.3.fasta
28	28	3407	3406	0.029	8	109	8	109	23	72	23	72	372	372	0	0.000	0.52907	0.12113	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466582.3.fasta
27	27	3572	3572	0.000	7	120	7	120	22	72	22	72	409	409	0	0.000	0.52492	0.11649	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466592.3.fasta
28	28	3244	3244	0.000	9	119	9	119	25	73	25	73	362	362	0	0.000	0.55055	0.11158	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466596.3.fasta
31	31	3031	3031	0.000	11	98	11	98	27	63	27	63	237	237	0	0.000	0.48895	0.10364	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466597.3.fasta
29	29	3558	3558	0.000	12	123	12	123	25	95	25	95	191	191	0	0.000	0.55368	0.08789	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466599.3.fasta
30	30	3137	3137	0.000	12	110	12	110	27	72	27	72	195	195	0	0.000	0.47498	0.09447	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466736.3.fasta
32	32	3112	3112	0.000	13	96	13	96	27	64	27	64	227	227	0	0.000	0.51864	0.11780	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466737.3.fasta
29	29	3218	3216	0.062	11	110	11	110	25	71	25	71	249	248	0	0.000	0.53172	0.12414	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466738.3.fasta
27	27	3581	3580	0.028	10	159	10	159	22	85	22	85	221	221	0	0.000	0.52123	0.07873	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466739.3.fasta
28	28	3303	3302	0.030	9	125	9	125	23	68	23	68	394	394	0	0.000	0.54119	0.10078	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466741.3.fasta
30	30	3009	3009	0.000	11	101	11	101	26	69	26	69	245	245	0	0.000	0.51246	0.10827	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466745.3.fasta
23	23	3851	3849	0.052	6	231	6	231	19	86	19	86	384	384	0	0.000	0.51052	0.13140	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466809.3.fasta
31	31	3123	3123	0.000	13	96	13	96	26	72	26	72	177	177	0	0.000	0.51457	0.12809	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466810.3.fasta
28	28	3337	3337	0.000	10	114	10	114	24	77	24	77	312	312	0	0.000	0.54330	0.10749	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466812.3.fasta
29	29	3318	3318	0.000	10	107	10	107	25	74	25	74	240	240	0	0.000	0.46956	0.09571	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466814.3.fasta
30	30	3147	3146	0.032	11	116	11	116	25	65	25	65	233	233	0	0.000	0.53560	0.10084	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466820.3.fasta
28	28	3298	3296	0.061	9	128	9	128	24	77	24	77	341	340	0	0.000	0.53459	0.10418	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466825.3.fasta
30	30	3387	3387	0.000	11	109	11	109	25	66	25	66	344	344	0	0.000	0.54709	0.09099	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466835.3.fasta
28	28	3358	3358	0.000	11	132	11	132	24	79	24	79	244	244	0	0.000	0.48541	0.09922	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466844.3.fasta
26	26	3602	3602	0.000	8	153	8	153	21	67	21	67	335	335	0	0.000	0.52526	0.10869	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466845.3.fasta
